*10x5; borehole field; B/H =0.10; rBorehole/H=0.0012 
NrOfBoreholes: 50
rBore: 0.0600
*Log(t/tES); g-Value
-10, 1.066417
-9, 1.544402
-8, 2.036178
-7, 2.533135
-6, 3.031704
-5, 3.539971
-4, 4.283957
-3, 5.878007
-2, 8.958942
-1, 13.554987
 0, 18.352184
 1, 21.603199
 2, 22.989845
 3, 23.411210
 4, 23.518631
