-4.00	10.40
-4.00	10.60
-4.02	10.82
-4.00	11.02
-4.00	11.24
-4.00	11.45
-2.00	10.93
-2.00	11.15
-2.00	11.39
-2.00	11.63
-2.00	11.87
-2.01	12.09
-0.01	11.26
-0.01	11.50
-0.01	11.76
-0.01	12.01
-0.01	12.51
-0.01	12.74
-0.01	12.26
0.01	12.27
1.99	11.83
1.99	12.10
1.99	12.37
1.99	12.64
1.99	12.92
1.99	13.19
1.99	13.46
3.98	12.45
3.98	12.73
3.98	13.02
3.98	13.33
3.98	13.61
3.98	13.91
3.98	14.20
3.98	12.47
5.98	13.10
5.98	13.39
5.98	13.70
5.98	14.03
5.98	14.34
5.98	14.67
5.98	14.98
7.99	13.75
7.99	14.10
7.98	14.45
7.98	14.78
7.98	15.13
7.97	15.48
7.97	15.82
8.00	15.47
9.98	14.47
9.98	14.83
9.99	15.21
9.99	14.48
9.98	15.59
9.98	15.95
9.95	15.60
9.98	16.35
9.98	16.70
9.99	16.35
